All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,GPIO28,GPIO28,GPIO28,SCIA_RX,,EPWM7_A,GPIO28,OUTPUTXBAR5,EQEP1_A,SD1_D3,GPIO28,EQEP2_STROBE,LINA_TX,SPIB_CLK,GPIO28,ERRORSTS,,
2,XRSn,XRSn
4,VDD,VDD
6,A6/PGA5_OF,,AIO228,,,,,,,,,,,,,,,,
7,B2/C6/PGA3_OF,,AIO226,,,,,,,,,,,,,,,,
8,B3/VDAC,,AIO242,,,,,,,,,,,,,,,,
9,A2/B6/PGA1_OF,,AIO224,,,,,,,,,,,,,,,,
10,A3,,AIO233,,,,,,,,,,,,,,,,
13,PGA5_GND,PGA5_GND
14,PGA1_GND,PGA1_GND
15,PGA3_GND,PGA3_GND
16,PGA5_IN,PGA5_IN
17,C4,,AIO239,,,,,,,,,,,,,,,,
18,PGA1_IN,PGA1_IN
19,C0,,AIO237,,,,,,,,,,,,,,,,
20,PGA3_IN,PGA3_IN
21,C2,,AIO244,,,,,,,,,,,,,,,,
22,A1/DACB_OUT,,AIO232,,,,,,,,,,,,,,,,
23,A0/B15/C15/DACA_OUT,,AIO231,,,,,,,,,,,,,,,,
24,VREFHIB/ VREFHIC,VREFHIB/ VREFHIC
25,VREFHIA,VREFHIA
26,VREFLOB/ VREFLOC,VREFLOB/ VREFLOC
27,VREFLOA,VREFLOA
28,C5/ PGA6_IN,,AIO240,,,,,,,,,,,,,,,,
29,C1,,AIO238,,,,,,,,,,,,,,,,
30,PGA2_IN,PGA2_IN
31,C3/ PGA4_IN,,AIO245,,,,,,,,,,,,,,,,
32,PGA2_GND/ PGA4_GND/ PGA6_GND,PGA2_GND/ PGA4_GND/ PGA6_GND
35,A5,,AIO234,,,,,,,,,,,,,,,,
36,A4/B8/PGA2_OF,,AIO225,,,,,,,,,,,,,,,,
37,A8/PGA6_OF,,AIO229,,,,,,,,,,,,,,,,
